feature,label,description,high_means,low_means,units,risk_direction,category
INCOME,Total Household Income,"Total annual household income from all sources (wages, investments, benefits) for the past year.",the household earns a lot each year.,the household earns little each year.,dollars,mixed,raw_dollar
DEBT,Total Debt,"Total amount the household owes across all debts (mortgages, loans, credit cards, etc.).",the household carries a large amount of debt.,the household carries little or no debt.,dollars,higher,raw_dollar
LIQ,Liquid Assets,"Cash-like savings the household could access quickly (checking, savings, and money-market balances).",the household has a large cash cushion.,the household has little cash on hand.,dollars,lower,raw_dollar
ASSET,Total Assets,"Total value of everything the household owns (home, vehicles, retirement accounts, investments, and cash).",the household owns substantial wealth.,the household owns little wealth.,dollars,lower,raw_dollar
CCBAL,Credit Card Balance,"Balance carried on credit cards from month to month (revolving balance, not total charges).",the household is carrying a large revolving credit-card balance.,the household pays off its credit cards or carries little balance.,dollars,higher,raw_dollar
CONSPAY,Monthly Consumer Debt Payments,"Total monthly payments the household makes on consumer debts such as credit cards, auto loans, and personal loans.",large share of monthly cash flow goes to servicing consumer debt.,monthly consumer-debt payments are small or zero.,dollars,higher,raw_dollar
FOODHOME,Food Spending at Home,Annual spending on groceries and food consumed at home.,the household spends a lot on groceries annually.,the household spends little on groceries annually.,dollars,mixed,raw_dollar
FOODAWAY,Food Spending Away from Home,"Annual spending on restaurants, takeout, and food eaten away from home.",the household eats out or orders in frequently.,the household rarely eats out.,dollars,higher,raw_dollar
AGE,Age (Reference Person),Age of the primary respondent (reference person) for the household.,the household head is older.,the household head is younger.,years,mixed,demographic
EDUC,Education Level,"Education level attained by the reference person, coded on a 1-14 scale where higher values indicate more schooling.",the reference person has higher educational attainment.,the reference person has less formal schooling.,"code (1-14, see LEVEL_MAPPINGS)",lower,categorical
FAMSTRUCT,Family Structure,"Household composition (partnered status, presence of children, age group).",higher codes generally correspond to married couples without dependent children.,lower codes generally correspond to single-parent or single-adult households with children.,"code (1-5, see LEVEL_MAPPINGS)",mixed,categorical
HOUSECL,Homeowner Status,Whether the household owns (vs. rents or other) its primary residence.,2 = renter or other non-ownership arrangement.,1 = homeowner.,"code (1=owner, 2=renter/other)",mixed,categorical
FINLIT,Financial Literacy Score,"Number of correct answers (0-3) on the standard financial-literacy quiz covering interest, inflation, and diversification.",the respondent answered all three financial-literacy questions correctly.,the respondent answered few or none correctly.,count (0-3),lower,categorical
DTI,Debt-to-Income Ratio,Total debt divided by total annual income; a standard measure of how heavy a household's debt load is relative to what it earns.,debt is large relative to income.,debt is small relative to income (or there is no debt).,ratio,higher,ratio
PAYMENT_TO_INC,Payment-to-Income Ratio,Annualized consumer-debt payments as a share of annual income; captures how much of each dollar earned goes to servicing consumer debt.,a large share of income is spent on monthly debt payments.,little of income goes to monthly debt payments.,ratio,higher,ratio
CC_TO_INC,Credit Card Balance to Income,Credit card balance divided by annual income; measures revolving credit pressure relative to what the household earns.,credit card balance is large relative to income.,credit card balance is small or zero relative to income.,ratio,higher,ratio
FOODHOME_X_AGE,Grocery Spending x Age,"Interaction between grocery spending and the reference person's age, capturing how the risk weight of grocery spending shifts with life stage.","large grocery spending at an older age, or very large grocery spending at a younger age.","low grocery spending, regardless of age.",interaction (dollars x years),mixed,interaction
DTI_X_AGE,Debt Burden x Age,"Interaction between debt-to-income ratio and age, reflecting that the same DTI level can mean different things at different life stages.","high debt-to-income combined with older age, indicating late-life financial stress.","low DTI, or high DTI at a younger age where career growth may still absorb the debt.",interaction (ratio x years),higher,interaction
LIQ_SQUEEZE,"Liquid Cushion, Net of Debt Drag","Liquid assets multiplied by (1 - DTI, capped at 1). Captures how much of the household's cash cushion is effectively available once the drag of debt is taken into account.",the household has substantial cash available AND low debt pressure.,"either little cash on hand, or cash that is largely offset by heavy debt.",dollars (interaction),lower,interaction
FOOD_DISCRETIONARY,Share of Food Spending on Eating Out,Share of total food budget spent at restaurants and takeout rather than on groceries. A lifestyle signal that is independent of absolute food spending.,most of the household's food budget goes to eating out.,most of the household's food budget goes to groceries.,ratio (0 to 1),higher,interaction
