,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
INCOME,0.3606,-0.0931,0.276,0.0737,-0.1382,-0.0728,0.0264,0.0383,0.1265,-0.0633,-0.0342,0.0196,-0.1606,-0.0477,0.168,-0.0105,0.7202,-0.3956,-0.0013
DEBT,0.2357,0.2651,0.0224,-0.2502,-0.0974,0.0292,0.0447,0.3278,-0.3825,0.4291,0.2578,0.1481,-0.2349,0.0108,0.3142,-0.3249,-0.1127,0.0099,-0.0104
LIQ,0.3221,-0.1137,0.1524,0.1045,0.2598,0.1069,-0.2468,-0.0896,-0.1051,-0.0755,0.1453,-0.2938,-0.0638,0.3839,0.4333,0.4371,-0.2155,0.0216,0.0005
ASSET,0.3873,-0.0976,0.3107,0.0961,-0.029,-0.0859,-0.0244,0.0893,0.1534,-0.0718,0.0322,0.1032,-0.0111,-0.1232,-0.2343,-0.1156,-0.2641,0.1463,0.7091
NETWORTH,0.3855,-0.1021,0.3116,0.1006,-0.0276,-0.0863,-0.0254,0.0854,0.1599,-0.079,0.029,0.1012,-0.0072,-0.1238,-0.2399,-0.1116,-0.2659,0.1471,-0.705
CCBAL,-0.0399,0.4372,0.0829,0.5126,-0.1008,0.0925,0.0182,-0.1422,-0.1342,0.0436,0.0316,-0.0804,-0.0508,-0.0696,-0.1507,0.0109,-0.2888,-0.5977,0.0004
CONSPAY,0.1046,0.4002,0.1256,-0.3679,0.0079,-0.2859,-0.1203,-0.2789,-0.1027,0.2031,-0.0567,-0.0451,-0.1915,-0.2061,-0.2983,0.5034,0.1022,0.121,-0.0008
FOODHOME,0.2243,0.1248,-0.0403,-0.1732,0.0169,0.4506,0.449,-0.2226,-0.0407,-0.1634,-0.2617,-0.1488,-0.3338,0.3547,-0.2396,-0.1583,0.02,0.0941,-0.0002
FOODAWAY,0.3202,0.073,0.0251,-0.1082,-0.0693,0.2221,0.1705,-0.1003,-0.1964,0.1606,-0.1821,-0.1033,0.8059,-0.143,0.06,0.044,0.0513,-0.0131,0.0
AGE,0.1619,-0.0714,-0.2168,0.2392,0.3359,-0.4484,0.2431,0.0582,0.0164,0.3806,-0.3579,0.2673,0.0356,0.3594,-0.0636,0.0587,-0.0112,-0.0735,-0.0003
EDUC,0.1997,0.1075,-0.3046,-0.002,-0.2225,0.209,-0.4231,0.0004,-0.0442,-0.2381,-0.4418,0.5229,-0.0859,-0.056,0.1609,0.1116,-0.0858,-0.0062,0.0
FAMSTRUCT,0.2022,0.0827,-0.3025,0.0147,0.0529,-0.1712,0.3131,-0.3812,-0.0224,-0.3337,0.563,0.3708,0.081,-0.0356,0.0955,0.0382,0.0158,0.0094,0.0001
HOUSECL,-0.2081,-0.1809,0.371,-0.0738,-0.1938,0.1712,-0.192,-0.2335,-0.144,0.2013,0.1984,0.4346,0.1487,0.4869,-0.2523,0.0227,0.0757,-0.0642,-0.0002
FINLIT,0.1683,0.1037,-0.3207,-0.0068,-0.1572,0.2157,-0.1762,-0.1209,0.6898,0.4461,0.2157,-0.1006,0.0162,0.0923,-0.0234,-0.0189,-0.0002,-0.0063,0.0001
DTI,-0.0041,0.4229,-0.0033,-0.1195,0.2046,0.0819,-0.0194,0.6176,0.1608,-0.2879,0.1643,0.0874,0.216,0.2802,-0.2304,0.187,0.1217,-0.0711,0.0002
PAYMENT_TO_INC,-0.0896,0.3426,0.257,-0.2791,0.2087,-0.2732,-0.1834,-0.3028,0.2578,-0.1738,-0.1843,-0.0141,0.1466,0.1713,0.2792,-0.4559,-0.0975,-0.1007,0.0
LIQ_TO_INC,0.1232,-0.069,-0.1457,0.0529,0.6583,0.2408,-0.389,-0.1197,-0.2023,0.073,0.1104,0.0141,-0.0245,-0.1988,-0.2787,-0.2731,0.2135,-0.0487,-0.0002
FOOD_RATIO,-0.1889,-0.0263,0.2994,-0.1029,0.3752,0.3568,0.3165,0.0071,0.2761,0.1539,-0.0625,0.3664,-0.0903,-0.3154,0.2504,0.2433,-0.1223,-0.112,-0.0
CC_TO_INC,-0.0957,0.3838,0.1816,0.5416,0.007,0.0918,0.0059,-0.0697,-0.0028,0.0675,-0.0144,0.0745,0.012,0.0121,0.1595,-0.0464,0.2942,0.6157,-0.0002
